Date,Store,Region,Product,Category,Units Sold,Revenue,Cost
2023-01-01,Store A,East,Milk,Dairy,23,65.09,35.65
2023-01-01,Store A,North,Bread,Bakery,19,51.49,35.72
2023-01-01,Store A,South,Eggs,Dairy,16,48.96,28.96
2023-01-01,Store A,East,Butter,Dairy,20,38.0,30.2
2023-01-01,Store A,North,Apples,Produce,19,60.800000000000004,39.709999999999994
2023-01-01,Store A,South,Bananas,Produce,15,143.55,113.39999999999999
2023-01-01,Store A,East,Chicken,Meat,18,62.28,35.64
2023-01-01,Store A,South,Beef,Meat,21,62.370000000000005,38.43
2023-01-01,Store B,South,Milk,Dairy,22,130.24,86.46000000000001
2023-01-01,Store B,East,Bread,Bakery,19,178.22000000000003,128.06
2023-01-01,Store B,North,Eggs,Dairy,13,24.439999999999998,14.560000000000002
2023-01-01,Store B,North,Butter,Dairy,17,77.01,45.05
2023-01-01,Store B,North,Apples,Produce,24,37.2,27.599999999999998
2023-01-01,Store B,South,Bananas,Produce,23,152.95000000000002,118.91
2023-01-01,Store B,East,Chicken,Meat,14,95.2,57.120000000000005
2023-01-01,Store B,East,Beef,Meat,17,130.9,90.44
2023-01-01,Store C,North,Milk,Dairy,21,204.96,154.77
2023-01-01,Store C,East,Bread,Bakery,21,119.7,78.54
2023-01-01,Store C,North,Eggs,Dairy,13,41.73,32.11
2023-01-01,Store C,North,Butter,Dairy,17,156.57000000000002,89.93
2023-01-01,Store C,East,Apples,Produce,20,190.2,129.2
2023-01-01,Store C,South,Bananas,Produce,24,213.84,158.39999999999998
2023-01-01,Store C,South,Chicken,Meat,26,66.04,40.04
2023-01-01,Store C,North,Beef,Meat,13,66.69,49.66
2023-01-02,Store A,North,Milk,Dairy,17,102.68,66.3
2023-01-02,Store A,North,Bread,Bakery,14,133.14,79.52
2023-01-02,Store A,East,Eggs,Dairy,19,69.54,39.9
2023-01-02,Store A,North,Butter,Dairy,20,78.4,40.0
2023-01-02,Store A,South,Apples,Produce,22,132.22,83.82000000000001
2023-01-02,Store A,East,Bananas,Produce,16,127.52,72.8
2023-01-02,Store A,East,Chicken,Meat,24,236.64,146.64000000000001
2023-01-02,Store A,North,Beef,Meat,13,54.99000000000001,30.55
2023-01-02,Store B,East,Milk,Dairy,26,87.62,62.4
2023-01-02,Store B,East,Bread,Bakery,16,47.68,33.76
2023-01-02,Store B,East,Eggs,Dairy,29,127.60000000000001,68.15
2023-01-02,Store B,North,Butter,Dairy,20,68.8,38.0
